kata,skor_negatif
download,-1
ngulang,-2
berat,-4
lag,-5
gacha,-2
bosan,-3
hoyoverse,-1
kikir,-5
pity,-2
mihoyo,-1
kecewa,-4
bug,-5
boring,-4
kentang,-4
lambat,-4
resource,-2
payah,-4
hancur,-5
optimasi,-3
mahal,-3
spek,-2
stuck,-4
size,-3
maintenance,-1
grind,-3
zonk,-5
kasar,-3
melecehkan,-5
layak,-5
penghinaan,-5
tersiksa,-5
sedihhh,-5
sange,-5
bersedih,-5
sensasi,-5
menjijikkan,-5
sangat,-5
menyakiti,-5
terlepas,-5
capai,-5
serius,-5
hampa,-5
oon,-5
tidak,-5
bohong,-5
sederhana,-5
rumor,-5
garang,-5
hutang,-5
bully,-5
gembel,-5
laporan,-5
bobrok,-5
kesusahan,-5
sialan,-5
idiot,-5
aib,-5
jahanam,-5
mati,-5
arsip,-5
bokek,-5
stress,-5
larut,-5
mentok,-5
kritis,-5
membenci,-5
tersinggung,-5
menanggapi,-5
tertutup,-5
mampus,-5
setimpal,-5
menangis,-5
bahaya,-5
angkatan,-5
condong,-5
ngaceng,-5
bencana,-5
fitnah,-5
lebur,-5
gabung,-5
curang,-5
tiada,-5
pecat,-5
sedihnya,-5
ganas,-5
memindahkan,-5
bangsat,-5
durjana,-5
biadab,-5
menyita,-5
meh,-5
gemas,-5
neraka,-5
porno,-5
ramai,-5
mogok,-5
kampret,-5
dimarahin,-5
tai,-5
pantas,-5
sadis,-5
geser,-5
barbar,-5
siluman,-5
bunuh,-5
kesal,-5
ketahuan,-5
error,-5
melepaskan,-5
patut,-5
cuek,-5
kandas,-5
hantam,-5
encok,-5
seru,-5
keliru,-5
laknat,-5
menyesalkan,-5
reaksi,-5
harus,-5
mual,-5
muak,-5
hoax,-5
miskin,-5
kematian,-5
eek,-5
trauma,-5
menguji,-5
sedih,-5
boros,-5
terpisah,-5
sedu,-5
centang,-5
fail,-5
bokep,-5
menyusahkan,-5
korup,-5
lanjut,-5
cukup,-5
terluka,-5
brutal,-5
horor,-5
fatal,-5
senonoh,-5
akut,-5
mala,-5
mengambang,-5
taun,-5
keterlaluan,-5
terbakar,-5
babu,-5
pandemi,-5
benci,-5
dendam,-5
azab,-5
cerewet,-5
menegah,-5
marah,-5
kontol,-5
suram,-5
mengagumkan,-5
dungu,-5
menjamin,-5
menggondol,-5
semprot,-5
penurunan,-5
bertambah,-5
kritik,-5
amburadul,-5
membersihkan,-5
butuh,-5
melepas,-5
putus,-5
jijik,-5
langka,-5
periksa,-5
brengsek,-5
menderita,-5
egois,-5
hate,-5
menjual,-5
slip,-5
curi,-5
menggaet,-5
butut,-5
rendah,-5
fakir,-5
batal,-5
resah,-5
yang,-5
invalid,-5
rip,-5
jelek,-5
hujat,-5
lap,-5
kesalahan,-5
sengsara,-5
bersusah,-5
beban,-5
maksa,-5
lapar,-5
usah,-5
bangkrut,-5
enggan,-5
belah,-5
tega,-5
mulus,-5
tonjok,-5
menang,-5
kampungan,-5
pa,-5
jorok,-5
dongok,-5
bantai,-5
tradisional,-5
nyesel,-5
pedofil,-5
terpendam,-5
menyiksa,-5
cabul,-5
apes,-5
kesulitan,-5
menahan,-5
jamin,-5
busuk,-5
metode,-5
nang,-5
kritikan,-5
tembak,-5
rumit,-5
buntung,-5
hajar,-5
halah,-5
muatan,-5
cincong,-5
mencegah,-5
kesel,-5
isi,-5
jawab,-5
pasukan,-5
nangis,-5
terkejar,-5
pilu,-5
khawatir,-5
ambil,-5
sakit,-5
cacat,-5
kerugian,-5
kemunduran,-5
malang,-5
penghambat,-5
memeriksa,-5
lenyap,-5
rugi,-5
sinting,-5
ngambek,-5
mesum,-5
telat,-5
membandel,-5
remeh,-5
gaib,-5
berantakan,-5
tangis,-5
melayani,-5
kolot,-5
sial,-5
buruk,-5
ihh,-5
bodo,-5
ilang,-5
gabut,-5
tumbang,-5
berlalu,-5
tangisan,-5
musibah,-5
tingkah,-5
mengkhianati,-5
penderitaan,-5
lewat,-5
anjeng,-5
hina,-5
tolol,-5
kuno,-5
parah,-5
merosot,-5
repot,-5
lemot,-5
ngeselin,-5
duka,-5
dajal,-5
ngatain,-5
usang,-5
lot,-5
gabungan,-5
menurunkan,-5
siksa,-5
cabut,-5
basi,-5
derita,-5
memuaskan,-5
goblok,-5
ludes,-5
dahsyat,-5
terlampau,-5
rawan,-5
anjg,-5
sia,-5
taik,-5
maki,-5
pelit,-5
menghentikan,-5
stori,-5
wajar,-5
memaki,-5
bala,-5
jawaban,-5
basmi,-5
caci,-5
sebel,-5
bete,-5
olok,-4
lain,-4
sampah,-4
lemah,-4
musuh,-4
kereta,-4
inferior,-4
bahasa,-4
mengusir,-4
dosa,-4
sumpek,-4
menghabisi,-4
sistem,-4
ribut,-4
membakar,-4
putih,-4
takut,-4
aneh,-4
penjara,-4
ruwet,-4
penanggung,-4
deskripsi,-4
samping,-4
gelap,-4
mamah,-4
sembarang,-4
keran,-4
unit,-4
serang,-4
tahu,-4
pukul,-4
puyeng,-4
mengharukan,-4
tumpuk,-4
narasi,-4
ledak,-4
tolak,-4
jauh,-4
pantang,-4
lolos,-4
setia,-4
membuang,-4
hot,-4
sangkut,-4
suntuk,-4
sampai,-4
penting,-4
kompleksitas,-4
tulang,-4
adiktif,-4
kaitan,-4
datang,-4
beradu,-4
bertanding,-4
atas,-4
berak,-4
sementara,-4
rencana,-4
malas,-4
hidup,-4
becus,-4
gas,-4
semok,-4
bebas,-4
menakutkan,-4
kesendirian,-4
obrolan,-4
berangkat,-4
bertabrakan,-4
drama,-4
omong,-4
sempit,-4
tumor,-4
beroperasi,-4
garu,-4
segi,-4
tepi,-4
acu,-4
bercanda,-4
mengalahkan,-4
kencan,-4
cerai,-4
sahabat,-4
meresahkan,-4
memakan,-4
cakap,-4
bertahan,-4
melekat,-4
bengkak,-4
memegang,-4
berita,-4
primer,-4
mamang,-4
cek,-4
tua,-4
keajaiban,-4
bagi,-4
berdekatan,-4
membantu,-4
surut,-4
tanggal,-4
usaha,-4
faktor,-4
recehan,-4
perkembangan,-4
susu,-4
sayap,-4
rata,-4
random,-4
ocehan,-4
gang,-4
terpaksa,-4
implementasi,-4
meninggalkan,-4
aplikasi,-4
atur,-4
jengkel,-4
bab,-4
korupsi,-4
babak,-4
menjatuhkan,-4
bagian,-4
bantu,-4
seni,-4
koneksi,-4
mengerjakan,-4
sebelah,-4
lawan,-4
darurat,-4
geming,-4
duel,-4
cantik,-4
menolak,-4
menghabiskan,-4
jaringan,-4
sedikit,-4
alur,-4
pengasih,-4
arah,-4
pohon,-4
teratur,-4
doa,-4
menghapus,-4
membantai,-4
senang,-4
nabrak,-4
bergadang,-4
badai,-4
lorong,-4
apasih,-4
nyeri,-4
hack,-4
primitif,-4
janggal,-4
mengejar,-4
sembarangan,-4
menggila,-4
bajak,-4
week,-4
emosi,-4
php,-4
paksa,-4
fk,-4
tamat,-4
menyakitkan,-4
ngeri,-4
ngeluh,-4
menegangkan,-4
sisa,-4
hawa,-4
berbeda,-4
bad,-4
menyedihkan,-4
poor,-4
ditolak,-4
penyakit,-4
cape,-4
sabil,-4
goyang,-4
gilak,-4
ladang,-4
bagus,-4
batang,-4
badmood,-4
die,-4
tonton,-4
pengangguran,-4
malesin,-4
mengganggu,-4
gaboleh,-4
kontak,-4
grogi,-4
gabakal,-4
pedas,-4
nyalahin,-4
enek,-4
hadeh,-4
ekstrem,-4
jarum,-4
sogok,-4
nyesal,-4
sobat,-4
nyesek,-4
drastis,-4
mager,-4
iblis,-4
baperan,-4
mengerikan,-4
hantu,-4
mabok,-4
berantem,-4
cerita,-4
setan,-4
item,-4
keanehan,-4
berhala,-4
menyimpang,-4
kumbang,-4
menantang,-4
insiden,-4
anjing,-4
selesai,-4
ugh,-4
ditinggal,-4
lali,-4
hih,-4
banjir,-4
menyesal,-4
korban,-4
dipaksa,-4
terhindar,-4
jari,-4
ribet,-4
sad,-4
hitam,-4
udahan,-4
meninggal,-4
bodoamat,-4
nekat,-4
menarik,-4
percuma,-4
dadah,-4
babi,-4
malu,-4
najis,-4
crash,-4
ninggalin,-4
astaga,-4
ndut,-4
kehilangan,-4
komunikasi,-4
kesepian,-4
astagfirullah,-4
menguntungkan,-4
engkau,-4
menuju,-4
kosong,-4
murka,-4
nyinyir,-4
gasuka,-4
bawel,-4
dilupain,-4
nyasar,-4
nihil,-4
patah,-4
sesat,-4
nyebelin,-4
kroco,-4
iri,-4
kelemahan,-4
mengejek,-4
marahin,-4
pait,-4
adegan,-4
biasa,-4
utang,-4
bacot,-4
benar,-4
ihhh,-4
ganggu,-4
berperang,-4
yauda,-4
mls,-4
ketauan,-4
capek,-4
kelamaan,-4
berdasarkan,-4
menyatu,-4
terpukul,-4
gagal,-4
menyerah,-4
gila,-4
kejam,-4
tim,-4
apek,-4
duh,-4
izin,-4
tubuh,-4
kuning,-4
mendebarkan,-4
engah,-4
depresi,-4
nyampah,-4
anjlok,-4
meledak,-4
rute,-4
gara,-4
dikit,-4
murung,-4
amit,-4
lalai,-4
blur,-4
bau,-4
pacak,-4
jembatan,-4
bosen,-4
receh,-4
kumat,-4
nyet,-4
stres,-4
sorry,-4
teknik,-4
masalah,-4
nyiksa,-4
yaudah,-4
apaan,-4
omongan,-4
enak,-4
tau,-4
hilang,-4
jahat,-4
rasio,-4
kompor,-4
lama,-4
panik,-4
