kata,skor_positif
story,3
quest,2
primo,2
event,3
karakter,2
grafik,2
update,3
reward,3
explore,3
archon,2
primogem,2
optimal,4
rekomendasi,4
build,2
map,2
gratisan,2
menantang,3
hebat,4
inovatif,4
sip,2
kadar,5
bonyok,5
terbaik,5
good,5
seneng,5
pilihan,5
alhamdulillah,5
manfaat,5
makna,5
gembira,5
campur,5
pop,5
top,5
proud,5
manja,5
sing,5
mantap,5
tambahan,5
tabah,5
unggulan,5
gemar,5
suntuk,5
terkenal,5
derajat,5
mau,5
berguna,5
apas,5
kesabaran,5
syukur,5
cakep,5
merdu,5
harum,5
sholat,5
sabar,5
nilai,5
elite,5
sentosa,5
selamat,5
bersyukur,5
rela,5
fav,5
happy,5
tertawa,5
neng,5
ramah,5
gagah,5
garing,5
efektif,5
enak,5
kece,5
lezat,5
kits,5
populer,5
cute,5
lulus,5
lemah,5
terimakasih,5
sedap,5
pinter,5
senang,5
tenang,5
bermanfaat,5
seru,5
terindah,5
memuaskan,5
berkekuatan,5
allah,5
manis,5
love,5
bonus,4
pertanda,4
remeh,4
api,4
ganteng,4
lancar,4
betapa,4
teratur,4
membaca,4
gempa,4
terbaru,4
pelit,4
inovasi,4
berbakat,4
terdahulu,4
suasana,4
puja,4
mama,4
islam,4
bergantung,4
pembaruan,4
mati,4
menurut,4
keenakan,4
sembuh,4
efisien,4
persembahan,4
atur,4
dukung,4
nyata,4
keluarga,4
menginginkan,4
special,4
meletakkan,4
setuju,4
banjir,4
perpaduan,4
menikah,4
tekad,4
kebutuhan,4
sosial,4
kasihan,4
hemat,4
jernih,4
memukau,4
akhlak,4
berkah,4
kebesaran,4
bismillah,4
berkualitas,4
kestabilan,4
cintai,4
keputusan,4
ya,4
kegunaan,4
ikhlas,4
bakat,4
tahu,4
bersemangat,4
membahagiakan,4
capai,4
rejeki,4
pelangi,4
rani,4
desain,4
berseri,4
terimaksih,4
mengganggu,4
positif,4
tajam,4
berduit,4
kemurahan,4
adil,4
ketawa,4
sungguh,4
kecepatan,4
menenangkan,4
welcome,4
cintaku,4
berjaya,4
kesal,4
benci,4
kualitas,4
trauma,4
mulus,4
elegan,4
yukk,4
tercinta,4
mengerikan,4
bahagia,4
tersendat,4
peruntungan,4
kreatif,4
nyaman,4
gampang,4
alangkah,4
sesungguhnya,4
bujang,4
perhatian,4
lovers,4
stabilitas,4
pasang,4
nice,4
sibuk,4
heran,4
berkategori,4
drastis,4
mementingkan,4
suci,4
berada,4
favorite,4
sigap,4
langkah,4
sebenarnya,4
jujur,4
birthday,4
semangat,4
taruh,4
mudah,4
keberuntungan,4
yuk,4
lincah,4
terutama,4
renovasi,4
ayo,4
takjub,4
mari,4
ok,4
mengesankan,4
pemenangnya,4
estetik,4
tersenyum,4
asri,4
moral,4
merah,4
darah,4
budak,4
ribut,4
mengaji,4
ada,4
berbusana,4
tersedia,4
tersaji,4
sebetulnya,4
profit,4
bentuk,4
kenyamanan,4
pesona,4
eksplorasi,4
realistis,4
luck,4
besar,4
jempol,4
riil,4
wangi,4
legit,4
kepintaran,4
perfek,4
beraturan,4
keseimbangan,4
menyukai,4
roh,4
pesta,4
berkaca,4
panas,4
puji,4
segar,4
keuntungan,4
berpakaian,4
mengecilkan,4
praktis,4
hadiah,4
nian,4
menolong,4
makasih,4
pendalaman,4
duka,4
rajin,4
lelah,4
kejayaan,4
gerakan,4
mewarnai,4
lampu,4
penghargaan,4
bernama,4
minat,4
aneh,4
pengasih,4
khas,4
rekan,4
talenta,4
spesial,4
mempunyai,4
spesialis,4
dingin,4
menabung,4
ikutan,4
menyusahkan,4
kemampuan,4
transaksi,4
trimakasih,4
mencintaimu,4
cocok,4
perduli,4
beruntung,4
ceria,4
berharap,4
menyenangkan,4
asik,4
bertahan,4
jasa,4
percuma,4
hayo,4
hangat,4
menguntungkan,4
mengagumkan,4
okay,4
amat,4
lurus,4
dukungan,4
umur,4
belagu,4
peduli,4
kebahagiaan,4
eksklusif,4
jempolan,4
paket,4
lila,4
melecehkan,4
menarik,4
kebaikan,4
aduhai,4
preventif,4
sobat,4
trims,4
doa,4
hallo,4
pendukung,4
regenerasi,4
romantis,4
jaya,4
persahabatan,4
capek,4
thank,4
kikir,4
gengsi,4
dana,4
amal,4
gratis,4
membantu,4
perubahan,4
menang,4
bercermin,4
support,4
sahabat,4
gemas,4
langganan,4
berpengalaman,4
memang,4
khayalan,4
sehat,4
wahyu,4
maha,4
membalas,4
awas,4
tegang,4
ketertarikan,4
enteng,4
shalat,4
tips,4
tq,4
suka,3
kini,3
gila,3
lam,3
sambut,3
karya,3
bayangan,3
ken,3
pas,3
menakjubkan,3
longgar,3
pasti,3
hutan,3
pekerjaan,3
bunga,3
cinta,3
tabung,3
momentum,3
genius,3
terjadinya,3
keseruan,3
manfaatnya,3
kaget,3
mengatakan,3
kembang,3
pola,3
ingatan,3
terjadi,3
harga,3
bekal,3
tata,3
rahasia,3
perut,3
sempurna,3
montok,3
ungkap,3
banding,3
ganti,3
guru,3
banyak,3
mekar,3
infinit,3
terjemahan,3
tinggi,3
paling,3
mengenang,3
habis,3
kekuatan,3
stop,3
tangkisan,3
datar,3
perolehan,3
makhluk,3
fantasi,3
angan,3
melalui,3
penyimpan,3
otomatis,3
tanggapan,3
bertepatan,3
panorama,3
hilang,3
bos,3
melongo,3
ordo,3
rusak,3
produk,3
terhalang,3
primitif,3
angkat,3
beristirahat,3
kakek,3
servis,3
elu,3
efek,3
mendidik,3
murid,3
kegiatan,3
melihat,3
meriah,3
pekerja,3
rilis,3
jawab,3
libur,3
lucu,3
permanen,3
yakin,3
sama,3
makanan,3
penjelasan,3
luas,3
waduh,3
cuti,3
konfirmasi,3
salin,3
tetap,3
terbukti,3
sayang,3
layak,3
cepat,3
berbentuk,3
sero,3
baik,3
mutu,3
pengaruh,3
hias,3
sumpah,3
nikmat,3
dalam,3
lalu,3
karyawan,3
pengganti,3
tindakan,3
bacot,3
kunci,3
tegap,3
berbagai,3
balasan,3
astagfirullah,3
formasi,3
